Data used for the WHO UNICEF coverage estimates 2024 revision (completed July 2025),,,,,,,,,,,,,
ISO3,surveyNameEnglish,surveyNameProduction,collectBegin,collectEnd,cohortYear,vaccine,evidence,cardsSeen,validity,ageVaccination,ageInterview,coverage,denominator
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,DTP3,Record or Recall<12m,21.3,CRUDE,0-12 m,12-23 m,20.1,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,DTP3,Record,21.3,CRUDE,0-23 m,12-23 m,10.4,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,DTP3,Record or Recall,21.3,CRUDE,0-23 m,12-23 m,21.4,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,DTP3,Recall,21.3,CRUDE,0-23 m,12-23 m,11,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,FULL,Record or Recall<12m,21.3,CRUDE,0-12 m,12-23 m,11.3,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,FULL,Record,21.3,CRUDE,0-23 m,12-23 m,8.3,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,FULL,Record or Recall,21.3,CRUDE,0-23 m,12-23 m,12.9,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,FULL,Recall,21.3,CRUDE,0-23 m,12-23 m,4.7,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,MCV1,Record or Recall<12m,21.3,CRUDE,0-12 m,12-23 m,31.4,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,MCV1,Record,21.3,CRUDE,0-23 m,12-23 m,13.5,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,MCV1,Record or Recall,21.3,CRUDE,0-23 m,12-23 m,35.9,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,MCV1,Recall,21.3,CRUDE,0-23 m,12-23 m,22.4,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,POL1,Record or Recall<12m,21.3,CRUDE,0-12 m,12-23 m,63.7,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,POL1,Record,21.3,CRUDE,0-23 m,12-23 m,17.8,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,POL1,Record or Recall,21.3,CRUDE,0-23 m,12-23 m,67.2,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,POL1,Recall,21.3,CRUDE,0-23 m,12-23 m,49.4,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,POL3,Record or Recall<12m,21.3,CRUDE,0-12 m,12-23 m,26.8,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,POL3,Record,21.3,CRUDE,0-23 m,12-23 m,10.7,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,POL3,Record or Recall,21.3,CRUDE,0-23 m,12-23 m,29.4,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,POL3,Recall,21.3,CRUDE,0-23 m,12-23 m,18.7,999
NGA,Nigeria Demographic and Health Survey 2003,Nigeria Demographic and Health Survey 2003,2003-03,2003-08,2002,TT2+,Record or Recall,,CRUDE,,CBAW,40.2,
